,market,name,description,displayAddress,street,city,state,zipCode,timezone,latitude,longitude,averageRating,ratingCount,priceRange,imageUrl,asapDeliveryAvailable,asapDeliveryTimeMinutes,pickupAvailable,asapPickupAvailable,asapPickupMinutes
36,"Houston, TX",The Waffle Bus Montrose,"$$ • Sandwiches, Waffles","1540 W Alabama St, Houston, TX 77006, USA",1540 West Alabama Street,Houston,TX,77006.0,US/Central,29.7388775,-95.3989657,4.63122415542603,1185,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/0b6b2553-0b19-4eb6-93b9-15e4c4b1718a.png",False,22,False,True,2
37,"Houston, TX",Wokker HTX,"$$ • Noodles, Asian","1010 Prairie St, Houston, TX 77002, USA",1010 Prairie Street,Houston,TX,77002.0,US/Central,29.7603463,-95.3615819,4.65356302261353,407,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/c74d31b6-2f73-4e4e-a4a9-b36d47c8ade9.png",False,19,False,True,16
38,"Houston, TX",sweetgreen,"$$ • Salad, Healthy","1303 Westheimer Rd, Houston, TX 77006, USA",1303 Westheimer Road,Houston,TX,77006.0,US/Central,29.7434544,-95.3951208,4.84001111984253,3694,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/3d0cd840-22b2-4538-9a1a-1fd998218191.jpeg",True,23,True,True,16
39,"Houston, TX",Dripped Birria,"$$ • Halal, Birria","5317 Washington Ave, Houston, TX 77007, USA",5317 Washington Avenue,Houston,TX,77007.0,US/Central,29.7702603,-95.4151867,4.2635760307312,755,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/3914cdf9-3499-4b21-82b5-e4b8085f0e6e.png",False,26,False,False,16
40,"Houston, TX",Popeyes,"$ • Chicken, Fried Chicken","2420 Scott St, Houston, TX 77004, USA",2420 Scott Street,Houston,TX,77004.0,US/Central,29.7336648,-95.3485424,4.11682176589966,2354,$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/12ee8636-2193-4972-b110-9be6a9a74f59.png",False,23,False,False,18
42,"Houston, TX",Nara Thai,"$ • Thai, Pickup","Downtown Texaco Car Care Clinic, 2111 Fannin St, Houston, TX 77002, USA",2111 Fannin Street,Houston,TX,77002.0,US/Central,29.747424155,-95.370663379,4.70101022720337,3863,$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/fe31dc53-1d4b-47fd-9aae-636cd4ba5c46.png",False,19,False,True,5
43,"Houston, TX",Pokeworks,"$$ • Miso Soup, Salmon","213 Yale St, Houston, TX 77007, USA",213 Yale Street,Houston,TX,77007.0,US/Central,29.774612824,-95.398183152,4.68175888061523,7730,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/ea4bc3a5-1f6e-44a6-89c1-7fcae7818f8c.png",False,21,False,True,14
44,"Houston, TX",Velvet Taco,"$$ • Nachos, Curry","907 Westheimer Rd, Houston, TX 77006, USA",907 Westheimer Road,Houston,TX,77006.0,US/Central,29.7444041,-95.3906218,4.73753499984741,7902,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/99e9172d-008a-43ad-8b2d-1bc7de875a08.png",False,20,False,True,8
45,"Houston, TX",BonChon,"$$ • Asian, Fried Chicken","2100 Travis St STE 110, Houston, TX 77002, USA",2100 Travis Street,Houston,TX,77002.0,US/Central,29.74923,-95.372536,4.66535615921021,2289,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/ba63a5c8-d554-4cbf-b223-060a77758cf8.png",False,21,False,True,14
46,"Houston, TX",Uberrito Fresh Mex,"$ • Healthy, Bowls","1609 Durham Drive, Houston, TX 77007, USA",1609 Durham Drive,Houston,TX,77007.0,US/Central,29.7753048,-95.4109814,4.59081602096558,4900,$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/d4308303-9d32-4d10-9ace-e85c30b61247.png",False,22,False,True,11
47,"Houston, TX",Jason's Deli,"$ • Salads, Sandwiches","2611 S Shepherd Dr, 2611 South Shepherd Drive, Houston, TX 77098, USA",2611 South Shepherd Drive,Houston,TX,77098.0,US/Central,29.742011,-95.4102799,4.75470209121704,3775,$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/90993959-9d01-4e28-a2ae-a62b8bdcb83b.png",True,23,True,True,12
48,"Houston, TX",Pho Saigon,"$ • Soup, Vietnamese","2808 Milam St, Houston, TX 77006, USA",2808 Milam Street,Houston,TX,77006.0,US/Central,29.7451531,-95.3776337,4.66716718673706,11336,$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/7282ea56-2306-44f2-b4cc-66d40e1109cf.jpg",True,21,True,True,11
49,"Houston, TX",Simply Pho,"$ • Vietnamese, Pickup","2929 Milam St, Houston, TX 77006, USA",2929 Milam Street,Houston,TX,77006.0,US/Central,29.7439197,-95.3775561,4.72209501266479,14012,$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/Simply_Pho_logo.png",False,23,False,True,16
50,"Houston, TX",Tarka Indian Kitchen,"$$ • Beverages, Indian","3701 S Shepherd Dr, Houston, TX 77098, USA",3701 South Shepherd Drive,Houston,TX,77098.0,US/Central,29.7331594,-95.4102219,4.77037906646729,7974,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/Tarka_Indian_Kitchen_lgog.png",False,29,False,False,21
51,"Houston, TX",Taco Bell,"$$ • Mexican, Tacos","Taco Bell, 2093 Taylor St, Houston, TX 77007, USA",2093 Taylor Street,Houston,TX,77007.0,US/Central,29.7757646,-95.3819373,4.39335107803345,2316,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/946112c1-9c44-4e21-b18c-0242d4da306c.png",True,17,True,True,10
52,"Houston, TX",Luby's,"$$ • Comfort Food, Burgers","1727 Old Spanish Trail, Houston, TX 77054, USA",1727 Old Spanish Trail,Houston,TX,77054.0,US/Central,29.6959663,-95.4023256,4.20721006393433,2746,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/8f647d5f-98bb-46b5-9256-752c9f967f42.jpg",True,33,True,True,6
53,"Houston, TX",Gyu-Kaku Japanese BBQ,"$$ • Japanese, Noodles","Gyu-Kaku Japanese BBQ, 510 Gray St, Houston, TX 77002, USA",510 Gray Street,Houston,TX,77002.0,US/Central,29.750596,-95.3753185,4.65548086166382,447,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/7c643542-c4b2-4f45-8c82-ff3d8b80c65c.png",False,27,False,True,22
54,"Houston, TX",Mendocino Farms,"$$ • Sandwiches, Salads","1200 Smith St, Houston, TX 77002, USA",1200 Smith Street,Houston,TX,77002.0,US/Central,29.7565984,-95.370438,4.73188400268555,138,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/63a203b8-2ecf-4b95-9037-016f8d533ace.jpg",False,24,False,False,16
55,"Houston, TX",Cafe Layal Midtown,"$$ • Cafe, Italian","Cafe Layal, 207 Gray St, Houston, TX 77002, USA",207 Gray Street,Houston,TX,77002.0,US/Central,29.752906,-95.377978,4.63392877578735,336,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/90f91fd7-65fd-4182-a584-d1d69408eb41.png",False,24,False,True,22
56,"Houston, TX",Luna Pizzeria,"$$ • Sandwiches, Salads","107 Yale St, Houston, TX 77007, USA",107 Yale Street,Houston,TX,77007.0,US/Central,29.772616,-95.3989005,4.78791189193726,4616,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/7352ddc3-9667-4312-b470-213769d90bf5.jpg",False,28,False,True,21
57,"Houston, TX",Flying Saucer Draught Emporium,"$$ • American (New), Restaurants","705 Main St, Houston, TX 77002, USA",705 Main street,Houston,TX,77002.0,US/Central,29.7587653,-95.3629196,4.71794891357422,117,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/d3dbc338-d5a9-4873-8c0d-87d96f8e9758.294",False,28,False,True,16
58,"Houston, TX",Buffalo Wild Wings,"$ • Chicken Wings, Chicken","510 Gray Street, Houston, TX 77002, USA",510 Gray Street,Houston,TX,77002.0,US/Central,29.7507967,-95.375609,4.07085609436035,6986,$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/2019-04-22_19-30-58_282167.png",False,29,False,True,20
59,"Houston, TX",Asia Market Thai Lao Food,"$$ • Pickup, Asian","3620 N Main St, Houston, TX 77009, USA",3620 North Main Street,Houston,TX,77009.0,US/Central,29.7911832,-95.3728234,4.8099799156189,5431,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/a6fa170b-a875-41a6-9e1b-9a48a3c6ccca.png",False,23,False,True,13
60,"Houston, TX",Tacos A Go Go,"$ • Mexican, Tex-Mex","3704 Main St, Houston, TX 77002, USA",3704 Main Street,Houston,TX,77002.0,US/Central,29.738444,-95.3798895,4.65503883361816,258,$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/92015943-211a-45bb-8543-1312ade371bf.png",True,21,False,False,3
61,"Houston, TX",Khun Kay Thai Cafe,"$$ • Thai, Curry","1209 Montrose Blvd, 1209 Montrose Boulevard, Houston, TX 77019, USA",1209 Montrose Boulevard,Houston,TX,77019.0,US/Central,29.7557913,-95.3918827,4.67491388320923,5537,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/688975ec-d29c-4158-98af-4557a0659420.png",False,22,False,True,17
62,"Houston, TX",The Meltdown,"$$ • Melts, Sandwiches","2316 Southmore Blvd, Houston, TX 77004, USA",2316 Southmore Boulevard,Houston,TX,77004.0,US/Central,29.7212608,-95.3762272,4.0516881942749,1451,$$,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/TheMeltdown-Logo-CMYK_1_1.jpg",True,27,True,True,18
